ID,Nombres,Apellidos,Genero,Fecha Nacimiento,Email,RUT,Telefono,Domicilio
5228,Felipe Javier,Castro Casanova,Masculino,01/04/2003,xxfelipegamer777xx@live.cl,21.295.966-9,932782378,Psj. Bosque Verde
1298,Carla Sofia,Rodriguez Castro,Femenino,15/07/1995,carla.rodriguez@gmail.com,17.529.864-5,912345678,Av. Los Pinos
2654,Diego Alejandro,Fernandez Flores,Masculino,20/11/1998,diegoferflores@yahoo.com,20.123.456-7,987654321,Calle Santa Maria
6778,Cristian Eduardo,Avila Morales,Masculino,17/06/1997,criseduardo.avila@gmail.com,19.567.234-5,936785412,Psj Los Cerezos
7296,Martin Alonso,Marquez Flores,Masculino,21/08/1989,martinalonso@gmail.com,15.456.789-2,947821365,Av. Las Palmeras
9423,Marcelo Andres,Salas Vega,Masculino,11/03/1996,masave96@hotmail.com,13.456.789-0,925684171,Av. Las Azaleas
1257,Laura Isabel,Ortiz Gomez,Femenino,12/10/1998,lauraog94@hotmail.com,19.567.891-2,946271538,Calle Los Rosales
2675,Ana Mar�a,Rojas Torres,Femenino,15/05/1995,anamariarojas@gmail.com,12.345.678-9,978654321,Calle Los Almendros
3478,Francisco Javier,Rodriguez Gomez,Masculino,29/09/1980,fjrodriguez@gmail.com,23.456.789-0,986532147,Av. Los Leones
4732,Alejandra,Contreras Hernandez,Femenino,21/06/1991,alecontreras@gmail.com,14.567.890-1,945671238,Calle Las Acacias
5218,Mauricio,Valenzuela Rojas,Masculino,07/11/1997,mavalenzuela@hotmail.com,15.678.901-2,956782134,Av. Los Aromos
6423,Carla,Alvarado Castro,Femenino,10/08/1994,calvaradoc@gmail.com,16.789.012-3,964512378,Calle Las Rosas
7654,Jorge,Chavez Perez,Masculino,23/03/1985,jchavez@hotmail.com,17.890.123-4,978643215,Av. Los Pajaritos
8324,Isabel,Bravo Silva,Femenino,01/02/1990,isbravos@gmail.com,18.213.459-4,987654321,Calle Los Laureles
1056,Carolina,Gonzalez Garcia,Femenino,27/07/1996,cgonzalezg@hotmail.com,19.123.456-7,945671238,Calle Los Pinos
2341,Sebastian,Fernandez Torres,Masculino,03/05/1989,sfernandezt@hotmail.com,18.234.567-8,967543218,Av. Los Nogales
3567,Camila,Aravena Diaz,Femenino,08/12/1992,camilaaravenad@gmail.com,19.345.678-9,978654321,Calle Las Palmeras
4790,Andres,Lopez Perez,Femenino,18/09/1982,alopezp@gmail.com,16.456.789-0,986532147,Av. Las Magnolias
5795,ALVARO RAMOS ,HJOL HOLA,Masculino,01/01/2000,alvaro@gmasd.com,33.333.333-3,978979879,asdas.
5190,Alvaro Gonzalo,Ramos Andler,Masculino,01/01/2000,798798@das.c,21.354.784-4,987489798,asdsa
